Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
04-12-2020,ADANIGREEN,EQ,1145,1150,1159,1125,1129.5,1129.75,1132.88,741720,8.40278E+13,34134,547566,0.7382
07-12-2020,ADANIGREEN,EQ,1129.75,1135,1140,1073.3,1101,1106.25,1100.9,1351024,1.48735E+14,61378,762214,0.5642
08-12-2020,ADANIGREEN,EQ,1106.25,1109,1123.1,1088,1097,1098.65,1101.6,998344,1.09977E+14,59846,584381,0.5854
09-12-2020,ADANIGREEN,EQ,1098.65,1100,1110,1050,1079,1070.1,1080.64,1080870,1.16803E+14,44005,623923,0.5772
10-12-2020,ADANIGREEN,EQ,1070.1,1064.7,1067,1030,1034.9,1036.7,1037.9,568627,5.90176E+13,44972,353670,0.622
11-12-2020,ADANIGREEN,EQ,1036.7,990.05,1057,985,1038.15,1041.5,1014.96,1793445,1.82028E+14,88624,642419,0.3582
14-12-2020,ADANIGREEN,EQ,1041.5,1019,1028.1,995.1,1009,1010.8,1011.41,921358,9.31873E+13,39961,558310,0.606
15-12-2020,ADANIGREEN,EQ,1010.8,1009,1020,1000.25,1013,1013.65,1010.01,754880,7.62439E+13,31901,489937,0.649
16-12-2020,ADANIGREEN,EQ,1013.65,1019.75,1029.9,1011.1,1011.5,1019.4,1020.37,451443,4.60638E+13,31475,287863,0.6377
17-12-2020,ADANIGREEN,EQ,1019.4,1023.9,1059.4,1013.75,1043.1,1041.55,1039.27,686579,7.13542E+13,40907,314118,0.4575
18-12-2020,ADANIGREEN,EQ,1041.55,1058.4,1058.4,1001,1005,1016.15,1022.22,1037435,1.06049E+14,37318,622123,0.5997
21-12-2020,ADANIGREEN,EQ,1016.15,1004.8,1040,971,1004.2,1020.3,1008.24,999121,1.00735E+14,39038,541530,0.542
22-12-2020,ADANIGREEN,EQ,1020.3,992,1040,976,1022.2,1029.9,1011.73,637121,6.44592E+13,30928,276814,0.4345
23-12-2020,ADANIGREEN,EQ,1029.9,1035,1050,1012.1,1048,1044.95,1038.49,684864,7.11226E+13,27342,371994,0.5432
24-12-2020,ADANIGREEN,EQ,1044.95,1058,1059,1021,1032,1036.2,1035.88,406594,4.21183E+13,19350,199905,0.4917
